한글단어명,영문단어명,단어 전체 명
반출입,CRIO,CARRY IN/OUT
반품,RTNGD,RETURNING GOODS
반환,RET,RETURN
발간,ISSU,ISSUE
발령,OFORD,OFFICIAL ORDER
발령권,OFORD_AUTH,OFFICIAL ORDER AUTHORITY
발명,INVT,INVENTION
발생,OCCR,OCCUR
발송,SEND,SENDING
발신인,ADSR,ADDRESSER
발주,ORDR,ORDER
발표자,PRSNTR,PRESENTER
발표지,ANUN_JNL,ANNOUNCE JOUNAL
방문,VISIT,VISIT
방문자,VISITR,VISITOR
방법,MTHD,METHOD
방사선,RADI,RADIATION
방산물품,DIPROD,DEFENSE INDUSTRY PRODUCT
방지,PRVNT,PREVENT
방학,VACA,VACATION
방향,DIRCT,DIRECTION
배기,VNTL,VENTILATION
배기량,DSCAPA,DISPLACEMENT CAPACITY
배달,DLV,DELIVERY
배달처,DLVPL,DELIVERY PLACE
배당,ALLOT,ALLOTMENT
배부,DISTRB,SHARE
배상,REPRT,REPARATION
배송,SHIP,SHIPPING
배송기사,SHPDRV,SHIP DRIVER
배송비용,SHPCST,SHIP COST
배송처,SHPPLC,SHIP PLACE
배수,MLTPL,MULTIPLE
배열,ARR,ARRAY
배우자,WIFE,WIFE
배점,SCOR,SCORE
배정,ASGN,ASSIGN
배제,EXCP,EXCEPTION
배지,BADGE,BADGE
배출,SCCS,SUCCESSION
백분,PCT,PERCENT
백분위,PCTL,PERCENTILE 
백분율,PCNT,PERCENT
백업,BACKUP,BACKUP
버스,BUS,BUS
버전,VER,VERSION
번,NO,NUMBER
번식,PROPAG,PROPAGATION
번역,TRAN,TRANSLATION
번역문,TRSL,TRANSLATIONS
번지,ADDR,ADDRESS
벌점,DMMRK,DEMERIT
범위,RANGE,RANGE
법원,COUR,COURT
법인,CORP,CORPORATION
법정,FLAW,FIX BY LAW
벤쳐,VNTR,VENTURE
벽,WALL,WALL
변경자,CHGPSN,CHANGE PERSON
변리사,PAT_ATT,A PATENT ATTORNEY
변상,CMPS,COMPENSATION
변환,MOD,CHANGE
별,CLSF,CLASSIFICATION
별칭,ALIAS,ALIAS
병,ILL,ILLNESS
병가,SCKLV,SICK LEAVE
병과,MILBCH,MILITARY BRANCH
병력,SICK,SICKNESS
병무청,MILMP_ADM,THE OFFICE OF MILITARY MANPOWER ADMINISTRATION
병사,SLDR,SOLDIER
병역,MILSV,MILITARY SERVICE
병원,HOSP,HOSPITAL
병적,MLRG,MILITARY REGISTER
보강,SUPP_LT,SUPPLEMENTARY LECTURE
보관,CUTD,CUSTODY
보기,DISP,DISPLAY
보도,NEWS,NEWS
보류,SPND,SUSPENTION
보수,REPA,REPAIR
보수자,REPAR,REPAIR PERSON
보안,SCRTY,SECURITY
보완,SUPP,SUPPLEMENT
보유,POSS,POSSESS
보유자,POSSR,POSSESS PERSON
보육,CARE,CARE
보장,GUAR,GUARANTEE
보전,PRESRV,PRESERVATION
보정,CORR,CORRECTION
보조,ASSI,ASSISTANCE
보조원,ASSTNT,ASSISTANT
보조장,SUPBOOK,SUPPLIMENTARY BOOK
보증,GRNT,GUARANTEE
보증인,GUANTR,GUANTRTEE PERSON
보직,MISS,MISSION
보충역,RSVDTY,RESERVIST DUTY
보험,INSU,INSURANCE
보호,GUARD,GUARD
보호자,GUARDIAN,GUARDIAN
보훈,VA,VETERANS AFFAIRS
복귀,CMBK,COMEBACK
복리후생,WELF,WELFARE
복명,RPTBK,REPORT BACK
복무,PBSV,PUBLIC SERVICE
복사,COPY,COPY
복직,RESTT,REINSTATEMENT
복학,RESH,RETURN TO SCHOOL
복합,MIX,MIX
본,MN,MAIN
본관,FMORG,FAMILY ORGIN
본교,MSCH,MAIN SCHOOL
본문,TEXT,TEXT
본봉,BSALY,BASIC SALARY
본부,HDOFCE,HEAD OFFICE
본예산,MBUDG,MAIN BUDGET
본인,SLF,SELF
본적,FMADR,FAMILY ADDRESS
봉사,SRV,SERVICE
봉사자,SERVT,SERVANT
봉투,EVLP,ENVELOP
부,FACT,A FACULTY
부가세,SURTAX,SUPERTAX
부과,IMPS,IMPOSE
부금,INME,AN INSTALLMENT
부기,BOOKKP,BOOKKEEPING
부녀자,WOMN,FEMALE
부담,BUDEN,BURDEN
부담금,PNFE,PRINCIPLE EXPENSES
부대,FORC,FORCE
부대비용,EXTR_EXPS,EXTRA EXPENSE
부동산,REAL_EST,REAL ESTATE
부모,PARENT,PARENTS
부문,FLD,FIELD
부분,PRTL,PARTIAL
부설,SUB,(PREFIX) ~ UNDER
부속,AFF,AFFILIATION
부속품,ACSY,ACCESSORY
부수,NCS,NUMBER OF COPIES
부식,SDSH,SIDE DISH
부양,SPRT,SUPPORT
부업,SDJB,SIDE JOB
부적격자,DISQ,DISQUALIFIED
부전공,MI,MINOR
부정,NOT,NOT
부제,SUBTTL,SUBTITLE
부직,PTJOB,PARTTIME JOB
부합,COINCD,COINCIDENCE
분,MINT,MINUTE
분개,JNL,JOURNALIZING
분기,QTR,QUARTER
분대,SQUD,A SQUAD
분모,DNMN,DENOMINATOR
분반,DCLSS,DEVIDED CLASS
분산,DPS,DISPERSION
분석,ANALYSIS,ANALYSIS
분실,LOSS,LOSS
분임,DIVISN,DIVSION
분자,NMRT,NUMERATOR
불가,IMPB,IMPOSSIBLE
불능,INCAP,INCAPABILITY
불량,INFER,INFERIORITY
불용,DISUSE,DISUSE
불용자원,USRE,USELESS RESOURCE
불입,PAY,PAY
브라우저,BRWS,BROWSER
블랙리스트,BLST,BLACKLIST
비고,REMK,REMARK
비과세,NOTAX,NON-TAXABLE 
비교,COMP,COMPARE
비밀번호,PWD,PASSWORD
비상,EMR,EMERGENCY
비상근,PTIME,PART TIMR
비슷함,SIM,SIMILARITY
비용,COST,COST
비위,VIOL,VIOLATION
비자,VISA,VISA
비정상,ABNML,ABNORMAL
비축,RESV,RESERVE
빈도,FREQ,FREQUENCY
빔프로젝터,BMPT,BEAM PROJECTOR
사건,EVENT,EVENT
사고,ACDT,ACCIDENT
사람,PSN,PERSON
사람수,RCNT,NUMBER OF PERSONS
사랑,LOVE,LOVE
사무소,OFCE,OFFICE
사범대생,COESTD,STUDENT OF COLLEGE OF EDUCATION
사업,BIZ,BUSINESS
사업자,BIZR,BUSINESS MAN
사업자등록번호,BIZNO,BUSINESS NUMBER
사업화,CMZTN, COMMERCIALIZATION
사용,USE,USE
사용자정의,USR_DEF,USER DEFINED
사원,EMP,Employee
사유,RESN,REASON
사정,SCRN,SCREENING
사진,PHT,PHOTO
사회,SOC,SOCIETY
사회교육,SOC_EDU,SOCIAL EDUCATION
사회유력인사,POTNT,POTENTATE
사회저명인사,EMNTPSN,"EMINANT PERSON
"
산,MT,MOUNTAIN
산업,IDST,INDUSTRY
산재보험,OHSINS,OCCUPATIONAL HEALTH AND SAFETY INSURANCE 
산출물,OUTPT,OUTPUT
산학,INAC,INDUSTRY AND ACADEMIC
상,TOP,TOP
상근,FULTIME,FULL TIME
상담,CNSL,COUNSEL
상담역,CNSLOR, COUNSELOR
상담자,CNSLTR,CONSULTOR
상당,EQVT,EQUIVALENT
상대,RELE,RELATIVE
상대평가,RELE_APPR,UNDEFINED
상반기,FRST_HF,FIRST HALF 
상벌,ARD,AWARD
상세,DETA,DETAIL
상속,INHRT,INHERIT
상수도,WATERWOKS,WATERWORKS
상시,ORDY,ORDINARY TIMES
상여,BONUS,BONUS
상용화,COMMRZ,COMMERTIALIZED
상위,UP,UP
상응,RESPD,RESPONDENCE 
상이,WOUN,WOUN
상자,BOX,BOX
상장,PRIZE,PRIZE
상점,AWSCOR,AWARD SCORE
상조회,MTL_AID,MUTUAL AID
상태,ST,STATUS
상패,MEDAL,MEDAL
상표,BRND,BRAND
상품,PRDT,PRODUCT
상하행,GO_UPDN,GOING UP/DOWN
상한,UPP,UPPER
상해,INJR,INJURY
상호,FIRM,FIRM NAME
상환,RFND,REFUND
상황,APPE,APPEARANCE
색맹,CBLD,COLOR BLIND
색인,IDX,INDEX
생,STD,STUDENT
생계,LIV,LIVING
생년월일,BIRTH_DT,BIRTH DAY
생물,BIO,BIOLOGICAL
생산,PROD,PRODUCTION
생성,CREA,CREATE
생성자,CRTR,CREATER
생존,EXIST,EXISTENCE
생활,LIF,LIFE
서명,SIGN,SIGNATURE
서버,SERVER,SERVER
서브넷마스크,SUBNMSK,SUBNET MASK
서비스,SVC,SERVICE
서식,FORM,FORM
서약서,PRDOC," A WRITTEN PROMISE, DOCUMENT FOR PROMISE."
서지,BGPY,A BIBLIOGRAPHY
석박사,MDADOP,MASTER DEGREE AND DOCTOR OF PHILOSOPHY
석사,MASTER,MASTER
석식,DINR,DINNER
석차,RANK,RANKING
선,PRE,PREFIX
선거,ELCT,ELCT
선급,PREPAID,PREPAYMENT
선물,GIFT,GIFT
선발,SLT,SELECTION
선배,SENIOR,SENIOR
선불,PREPAY,PREPAY
선수,PLAYER,PLAYER
선정,CHOICE,CHOICE
선착순,FCFS,FIRST-COME-FIRST-SERVED BASIS
선취득과목,PRE ACQ SBJT,UNDEFINED
설강,OPENLECT,OPEN LECTURE
설립,FONDT,FOUNDATION
설명,DESCT,DESCRIPTION
설문,SURVEY,UNDEFINED
설문지,SVYSHT,SURVEY SHEET
설비,EQM,EQUIPMENT
설정,SETP,SETUP
성,CHARTR,CHARACTER
성공,SUCCSS,SUCCESS
성능,ABL,ABILITY
성별,GEN,GENDER
성분,ELEM,ELEMENT
성수기,HIDMSSN,A HIGH-DEMAND SEASON
성인,ADLT,ADULT
성장,GRTH,UNDEFINED
성적,MRKS,MARKS
세금액,TAXAMT,TAX AMOUNT
세기,CENT,CENTURY
세대,GENE,GENERATION
세대주,HOUSEHOLDER,A HOUSEHOLDER
세로,VERT,VERTICAL
세목,SB,SUB ACCOUNT
세무서,TAXOFCE,A TAX OFFICE
세미나,SEMI,SEMINA
세세목,SBIZ,SUB BUSINESS SEQ
세세항,SBBS,SUB BISUNESS SECTION
세액공제,TXDUC,TAX DEDUCTION
세율,TRATE,TAX RATE
세항,SBS,SUB SECTION
센터,CENTR,CENTER
소,SM,SMALL
소개,INTRO,INTRODUCTION
소견,OPIN,OPINION
소계,SBTT,SUBTOTAL
소급,RTRO,RETROACTION
소대,PLAT,A PLATOON
소득,EARN,EARNING
소득세,EITAX,THE EARNED INCOME TAX
소득세법,ITXLW,INCOME TAX LAW
소득자,EARNR,EARNER
소멸금액,DESTAMT,DESTAMT
소모품,CONGD,GOODS FOR CONSUME 
소분류,SCLSF,SMALL CODE
소속,POSI,"DEPARTMENT, POSITION"
소송,SUIT,SUIT
소수,MNR,MINORITY
소스,SRC,SOURCE
소액,SMAMT,SMALL AMOUNT
소요,ND,NEED
소위원회,SMCMTT,SMALL COMMITTEE
소유,OWN,OWNERSHIP
소유자,OWNR,OWNER
소재지,LOCA,LOCATION
소집,ASSE,ASSEMBLY
소프트웨어,SW,SOFTWARE
소화기,FIREEXT,EXTINGUISHER
속성,ATTR,ATTRIBUTE
손익,PFLS,PROFIT AND LOSS
송금,RMTNCE,"REMIT MONEY,"
송신자,SNDR,영어
쇄,PRINT,PRINTING
수강,TLSN,TAKING A LESSON
수강생,TLSNR,"A TRAINEE, A PERSON PRESENT AT A LECTURE CLASS"
수거,TAKE AWAY,TKAWY
수금,RECPT,RECEIPT
수납,ACPT,ACCEPTANCE
수능,SCHABLT,SCHOLASTIC ABILITY
수당,ALLOW,AN ALLOWANCE
수도,WAWRK,WATER WORKS
수령,ACCPT,ACCEPTANCE
수령자,RCTPSN,RECEIPT PERSON
수료,CETE,COMPLETE
수리,MATH,MATHEMATICS
수명,LIFE,LIFE TIME
수발,RCVSND,RECEIVE SEND
수석,HEAD,THE HEAD(CHEIF)
수수료,CMSN,COMMISSION
수술,OPER,OPERATION
수습,TRNG,TRAINING
수시,OFTEN,OFTEN
수신,RECP,THE RECEIPT OF A MESSAGE
수신자,RECPR,RECEPTOR
수업,LSN,LESSON
수여자,ARDR,AWARDER
수요,DMND,DEMAND
수요일,WED,WEDNESDAY
수용,ADMT,ADMITTED
수익,PROFIT,PROFIT
수입,INC,INCOME
수정자,MODER,MODIFY PERSON
수증자,RECPTR,UNDEFINED
수축,SHRK,SHRINKING
수탁,TRUST,TRUST
수퍼,SUPER,SUPER
수학,LRN,LEARNING
수행,CAOT,CARRY OUT
수험생,EXAM_TKR,EXAM TAKER
수험표,EXMSHT,EXAMINATION SHEET
수혜,BNFT,BENEFIT
숙박,HTCG,HOTEL CHARGES
숙직,NGHTY,NIGHT DUTY
순,PURE,PURE
순서,ORD,ORDER
숫자,NMRL,NUMERAL
스캔,SCAN,SCAN
스크랩,SCRAP,SCRAP
슬로건,SLOG,SLOGAN
습득,ACQ,ACQUISITION
승강기,ELEV,ELEVATOR
승격,PRMT,PROMOTION
승계,SUCC,SUCCESSION
승용,RIDG,UNDEFINED
승인,ACCP,ACCEPT
승인자,ACCPR,UNDEFINED
승차,RIDE,RIDE
시,SI,
시가,MPRC,MARKET PRICE
시각,HOUR,HOUR
시간,TM,TIME
시간표,TM_TBL,A TIME TABLE
시군구,CDS,"ADMINISTRATION CITY, DISTRICT, SECTION"
시기,SHTM,SCHOOL TERM
시디키,CDKEY,CD KEY
시력,SGHT,SIGHT
시뮬레이션,SIMUL,SIMULATION
시민,CTZN,CITIZEN
시분,HMINT,HOUR AND MINUTE
시상,AWRD,AWARD
시설,INST,INSTITUTION
시수,MHOUR,MAN HOUR
시스템,SYSTEM,SYSTEM
시외,SURB,SUBURBS
시작,FR,FROM
시장,MKT,MARCKET
시장성,MKTBLT,MARKETABILITY
시점,PTM,POINT OF TIME
시청,WTCH,WATCH
시행,PERF,PERFORM
시효,VALD,VALID
식,FMLA,FOMULA
식당,CAFE,A CAFETERIA
식별,DSTSH,DISTINGUISH
신,NEW,NEW
신규화,NEWLY,NEWLY
신도,BLV,BELIEVER
신문,PAPER,PAPER
신문기자,PRES_MAN,A PRESS MAN
신분,STTS,STATUS
신분증,IDCARD,ID CARD
신앙,FAITH,FAITH
신용공제회,CREDIT_UNION,UNDEFINED
신용카드,CREDIT_CARD,CREDIT CARD
신원,IDTY,IDENTITY
신입생,NEW_STD,NEW STUDENT
신청서,APLDOC,APPLY DOCUMENT
신청자,APLYT,APPLYANT
신체,BODY,BODY
신탁,TRST,TRUST
신호,SIGNL,SIGNAL
실기,PRAC,PRACTICAL
실무,BUSI,BUSINESS
실사,INVEST,INVESTIGATION
실시,RUN,RUN
실업,UNEM,UNEMPLOYMENT
실적물,RSLTS,RESULTS
실행로그,EXECLOG,EXECLOG
실험,EXPRM,EXPERIMENT
심사자,SCRNGR,SCREEINER
심판,JUDT,JUDGMENT
심화,DEEP,DEEPING
쓰기,WRTNG,WRITNG
아동,CHRN,CHILD
아버지,FTHR,FATHER
아침,MORNG,MORNING
악기,INSTMT,A MUSICAL INSTRUMENT
안건,MTR,MATTERS
안내,GUIDC,GUIDANCE
안전,SAF,SAFETY
암호,CRYPT,CRYPTOGRAM
압력,PRSS,PRESSURE
압류,SEIZ,SEIZURE
액면,FACE,FACE
앨범,ALBM,ALBUM
야간,NGHT,NIGHT
야식,MSNACK,MIDNIGHT SNACK 
약력,BFHT,A BRIEF (PERSONAL) HISTORY
약명,ABBNM,ABBREVIATED NAME
약속,APPO,APPOINTMENT
약어,ABB,ABBREVIATED
약정,AGR,AGREEMENT
약품,DRUG,DRUGS
양력음력,LUSO,LUNAR
양여,TRANS,TRANSFER
양육비,BREXPS,THE EXPENSE[COST] OF BRINGING UP A CHILD
양적,QUANTIV,QUANTITATIVE
어디서,WHERE,WHERE
어제,PREVDAY,PREVIOUS DAY
어학,LANG,LANGUAGE
언론사,SPCHCO,SPEECH COMPANY
언제,WHEN,WHEN
업로드,UPLOAD,UPLOAD
업무,BUSS,BUSINESS
업적,ACHV,ACHIEVEMENTS
업종,BIZTP,BUSINESS TYPE
업태,WKTP,WORK TYPE
에너지,ENERGY,ENERGY
에프터서비스,AS,AFTER SERVICE
엑셀,EXCEL,EXCEL
엘리트,ELITE,ELITE
여과,FILT,FILTER
여권,PSPT,PASSPORT
여부,YN,YES OR NO
여비,TREXPS,TRAVELING EXPENSES
여석,RCAPA,REMAINED CAPACITY
여학생,GRSTD,GIRL STUDENT
여행,TRIP,TRIP
역,IVS,INVERSE
역종,MILKD,MILITARY KIND
역할,ROLE,ROLE
연가,YRLV,YEARLY LEAVE
연결,CONN,CONNECT
연구,RECH,RESEARCH
연구비,RSAMT,RESEARCH AMOUNT
연구소,LAB,LABORATORY
연구원,RECHER,RESEARCHER
연금,PENS,PENSION
연금저축,PNSV,PENSION SAVINGS
연기,PSTP,"POSTPONEMENT,"
연락,COCT,"CONNECTION, CONTACT"
연락처,CNTINFO,CONTACT INFORMATION
연료,FUEL,FUEL
연말,YEND,YEAR-END
연면적,TTAR,TOTAL AREA
연번,SRNUM,SERIAL NUMBER
연보,ANRPRT,AN ANNUAL REPORT
연봉,YSALY,AN ANNUAL[A YEARLY] SALARY
연봉제,YSALY_BS,YEARLY SALARY BASE
연비,FUELEFY,FUEL EFFICIENCY
연수,STDTR,STUDY AND TRAINING
연식,MDLYR,MODEL YEAR
연장,EXTNS,EXTENTION
연차,ANNLV,ANNUALY
연체,DELY,DELAY
연합,LG,LEAGUE
연혁,HIST,HISTORY
열,COL,COLUMN
영구,ETER,ETERNITY
영문,ENG,ENGLISH
영선,BLDRPR,BUILDING AND REPAIRS
영수인,RECIP,RECIPIENT
영유아,BABY,BABY
영화,MOV,MOVIE
예,XMPL,EXAMPLE
예과,PRE_SUST,A PREPARATORY COURSE
예금,DEPO,DEPOSIT
예금주,DEPOTR,DEPOSITOR
예능,ACPM,ACCOMPLISHMENTS
예비,PREPA,PREPARATION
예비교육,OT,ORIENTATION
예비군,RESFORCE,RESERVE FORCE
예비비,SPAMT,SPARE AMOUNT
예산,BUDG,BUDGET
예상,EXPC,EXPECTATION
예수,WHOLD,WITHHOLD
예약,RESER,RESERVATION
예우,HNTRMT,HONORABLE TREATMENT
오디오,AUDIO,AUDIO
오류,ERR,ERROR
오전,AM,AM
오후,PM,"PM, AFTER NOON"
옥내,INDOR,INDOORS
옥외,OTDOR,OUTDOORS
온도,TEMP,TEMPERATURE
옵션,OPT,OPTION
완공,CMPLT,COMPLETION
완납,FULPAID,FULL PAYMENT
완독,CLSREAD,CLOSE READING
완성도,LVLEX,LEVEL OF  COMPLETION
외,OUT,OUT
외국납부,FRNPAI,FOREIGN PAID
외국어,FRN_LANG,FOREIGN LANGUAGE
외국어시험,FLN_EXAM,FOREIGN LANGUAGE EXAM
외국인,FOREIGNER,FOREIGNER
외국인등록번호,FOR_RES_NO,FOREIGNER RESIDENT NUMBER
외근,WORKOUT,WORKS OUTSIDE
외래,FORE,FOREIGN
외부,OTSD,OUTSIDE
외부인,OTSDR,OUTSIDER
외상,CRT,ON CREDIT
외양,APPRC,APPEARANCE
외자,FOFU,FOREIGN FUND
외화,FRGN_EXCHG,EXCHANGE
요강,REQM,REQUIRMENT
요건,COND,CONDITION
요금,FEE,FEE
요목,PRITEM,"PRINCIPAL ITEMS,"
요양,RECU,RECUPERATION
요일,DAY,DAY
요청자,DMNDR, DEMANDER
용량,CAPA,CAPACITY
용어,TMNLGY,TERMINOLOGY
용이,EASE,EASY
용지,SHEET,SHEET
우,RT,RIGHT
우대,PREF,PREFERENCE
우등,HONOR,HONOR
우등/경고,HNWRN,HONOR OR WARNNING
우리사주,OSC,OUR COMPANY STOCK
우수,EXCL,EXCELLENT
우천시,RAIN,RAINNING
우편,ZIP,ZIP CODE
우편물,POST,POST
운동,ATHLE,ATHLETICS
운전,DRIV,DRIVING
운전자,DRIVR,DRIVER
워크숍,WKSHP,WORKSHOP
원격,REMT,REMOTE
원고,MNSCR,A MANUSCRIPT 
원고지,MNSCRPP,MANUSCRIPT PAPER
원금,PRINSUM,THE PRINCIPAL SUM
원래,ORG,ORIGINAL
원리금,PIA,PRICIPAL AND INTEREST AMOUNT
원문,ORGTXT,ORIGINAL TEXT
원본,ORGWRK,ORIGINAL WORK
원서,ORGW,THE ORIGINAL (WORK)
원어,ORGLANG,ORIGINAL LANGUAGE
원인,CAUS,CAUSE
원장,LEGR,A LEDGER
원적,ORADR,ORIGINAL ADDRESS
원천,WTHL,WITHHOLDING
원천세,WHTAX,A WITHHOLDING (TAX) 
원화,WONCR,WON CURRENCY 
월,MM,MONTH
월별,CBYMM,CLASSIFIED BY MONTH
월세,MNRT,MONTHLY RENT
월요일,MON,MONDAY
월일,MMDD,MONTH DAY
웹,WEB,WEBSITE
위도,LAT,LATITUDE
위로,CMFT,COMFORT
위원회,CMTT,COMMITTEE
위촉,CHARG,CHARGE
위치,LOC,LOCATION
위험,RISK,RISK
윈도우,WDW,A WINDOW
유가,VLABL,"VALUABLENESS, HAVING A FIXED PRICE "
유급,ACPROB,ACADEMIC PROBATION
유도,INDCTN,INDUCTION
유연근무,SWK,SUPPLE WORK
유즈케이스,UC,USECASE
유지,MATE,MAINTENANCE
유학,STAB,STUDY ABROAD
유형,TYP,TYPE
육성,REAR,REARING
육아,INFC,INFANT CARE
융자,FINC,FINANCING
은행,BANK,BANK
음악,MUSIC,MUSIC
읍면,TWN,TOWN
읍면동,TWNVIL,TOWNS VILLAGES
응시,APPLEXAM,APPLY FOR AN EXAMINATION
의과,MDEPT,MEDICAL DEPARTMENT
의과대학,MEDICOLE,MEDICAL COLLEGE
의뢰인,CLNT,CLIENT
의료,MEDI,MEDICAL EXAMINATION
의료비,HFE,HUMAN EXPENSE
의무자,OBLIR,AN OBLIGATOR
의사,DOCTOR,DOCTOR
의식,CERE,CEREMONY
의존,DEPNDC,DEPENDENCE
의학,MECI,MEDICINE
이내,WTN,WITHIN
이내자내역,WPC,WITHIN CONTENT
이념,IDEAL,IDEAL
이동,MV,A MOVE
이력서,RESUME,RESUME
이론,THEO,THEORY
이메일,EMAIL,EMAIL
이사장,CDIR,THE CHIEF DIRECTOR
이수,CPTN,COMPLETION
이완,RELAX,"RELAXATION,"
이월,CYOV,CARRY OVER
이자,ITT,INTEREST
이전,BF,BEFORE
이중,DUP,DUPLICATE
이하,BLW,BELOW
이해,UNDR,UNDERSTAND
이후,AF,AFTER
익년도,NXYY,NEXT YEAR
인가,CONF,CONFIRM
인간,HUMAN,HUMAN
인건비,LABCOST,LABOR COSTS
인계자,SUCCR,UNDEFINED
인문,HUMN,HUMN
인브리딩,INBR,INBRIDING
인사,PSNMNG,PERSONNEL MANAGEMENT
인상,RAIS,RAISE
인성,HUSM,HUMANISM
인성검사,HUMTST,HUMAN INSTINCT TEST
인세,RYT,ROYALTY
인센티브,INCN,INCENTIVE
인수,TK,TAKE
인수자,TKR,UNDEFINED
인용,QTAT,QUOTATION
인적,HUM,HUMAN
인증,VLD,VALIDATION
인증서,CERTI,CERTIFICATION
인터넷,INET,INTERNET
인터뷰,INTV,INTERVIEW
인턴,INTN,INTERN
인턴쉽,INTRNS,INTERNSHIP
인하,DISCNT,DISCOUNT
일,DD,DAY
일간지,NEWSPP,NEWS PAPER
일괄,BATCH,BATCH
일반,GENRL,GENERAL
일반선택,EGS,ELECTIVE GENERAL SUBJECT
일수,DCNT,DAY COUNT
일숙직,ONTDT,ONE NIGHT DUTY
일시,DTTM,DATE TIME
일요일,SUN,SUNDAY
일용,DAILY,DAILY
일정,SCHE,SCHEDULE
일지,DIARY,A DIARY
일직,DDTY,DAY DUTY
일치,ACCRD,ACCORD
일할,BTDD,BY THE DAY
일회,ONCE,ONCE
읽기,RDNG,READING
잃다,LOST,LOST
임대,RNTL,RENTAL
임면,APP_DIS, APPOINT AND DISMISS
임상,CLINIC,CLINICAL
임원,DRTR,DIRECTOR
입고,IST,IN STORE
입관,ETRSD,ENTER RESIDENCE
입국,ENCO, ENTER A COUNTRY
입금,RCIPT,RECEIPT 
입대,ENST,ENLIST
입력,INPT,INPUT
입력자,INPTR,UNDEFINED
입목죽,STDTREE,STANDING TREE
입방,CUBE,CUBE
입사,JOIN_CO,JOIN THE COMPANY
입상,PRIZ,PRIZ
입시,ENEXAM,ENTRANCE EXAMINATION
입실,CHKIN,CHECK IN
입양,CHDADPT,CHILD ADOPTION
입원,HSPLZ,HOSPITALIZATION
입찰,BID,BID
입찰설명회,BDFAIR,BID FAIR
입학,ENTR,ENTRANCE
입학사정관,ADMS_OFCR,ADMISSIONS OFFICER
입회,ADMSS,ADMISSION
자가용,OWNCAR,A PRIVATELY-OWNED CAR
자금,TRSR,TREASURY
자기,SELF,SELF
자녀,CHILD,CHILDREN
자녀양육,BRED,BREED CHILDREN
자동,AUTO,AUTO
자릿수,CIPR,CIPR
자매결연,SISHOD,SISTERHOOD
자본,CPTL,CAPITAL
자산,ASST,ASSET
자연,NATU,NATURE
자원,RES,RESOURCE
자재,RSC,RESOURCE
